City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
70,Vaini,-21.2,-175.2,69.8,73,40,11.41,TO,2020-09-05 15:14:16
71,Lavrentiya,65.58,-171.0,41.11,80,95,2.44,RU,2020-09-05 15:14:16
72,Tommot,58.96,126.29,51.53,88,84,0.51,RU,2020-09-05 15:13:40
73,Tupiza,-21.45,-65.72,74.07,10,0,20.2,BO,2020-09-05 15:14:16
74,Bambous Virieux,-20.34,57.76,70.0,83,40,12.75,MU,2020-09-05 15:14:17
75,Pisco,-13.7,-76.22,62.6,77,0,3.36,PE,2020-09-05 15:12:48
76,Cidreira,-30.18,-50.21,57.15,92,100,18.39,BR,2020-09-05 15:14:18
77,Pochutla,15.74,-96.47,77.0,73,75,1.45,MX,2020-09-05 15:14:18
78,Karratha,-20.74,116.85,69.94,75,71,4.74,AU,2020-09-05 15:14:18
79,Xapuri,-10.65,-68.5,103.3,28,0,1.07,BR,2020-09-05 15:14:19
80,Mar Del Plata,-38.0,-57.56,51.8,66,75,9.17,AR,2020-09-05 15:14:19
81,Kapaa,22.08,-159.32,80.6,69,90,12.75,US,2020-09-05 15:14:19
82,Akdepe,42.06,59.38,78.8,18,74,11.41,TM,2020-09-05 15:14:19
83,Daltenganj,24.03,84.07,80.6,81,61,3.09,IN,2020-09-05 15:14:20
84,Adrar,20.5,-10.07,101.08,23,81,13.76,MR,2020-09-05 15:14:20
85,Port Alfred,-33.59,26.89,64.71,69,74,14.14,ZA,2020-09-05 15:09:38
86,Senanga,-16.12,23.27,88.75,12,0,10.0,ZM,2020-09-05 15:14:21
87,Pevek,69.7,170.31,35.4,85,11,7.76,RU,2020-09-05 15:13:01
88,Port Elizabeth,-33.92,25.57,59.0,87,20,3.36,ZA,2020-09-05 15:14:21
89,Bilma,18.69,12.92,104.13,13,27,4.79,NE,2020-09-05 15:14:21
90,Xiangxiang,27.73,112.53,74.43,85,90,1.61,CN,2020-09-05 15:14:22
91,Letlhakeng,-24.09,25.03,84.99,15,0,7.99,BW,2020-09-05 15:14:22
